抓取日期,分類,排名,商品編號,廠牌,型號,商品名稱,折扣,售價,原價,商品詳細,連結
2026-09-19,掃地機器人,11,266101,Roborock,RRE0CPS,Roborock 石頭 Saros 20 水立方 掃拖機器人,50折,$34980,"$69,999",100度熱水洗 ｜ 4.8+4公分雙門檻越障 ｜ 36000pa ｜ 自動上下水,https://www.tk3c.com/product/266101?kw=掃地機器人&source=5&ec=Search_hotPC1
2026-09-19,掃地機器人,12,258089,Roborock,RRE0PEE,Roborock 石頭 Qrevo L 掃拖機器人,,$9999,"$29,999",自動洗烘拖布 ｜ 自動集塵 ｜ 10000Pa吸力 ｜ 零纏繞邊刷,https://www.tk3c.com/product/258089?p=1&kw=掃地機器人&ec=Search_goodsPC1
2026-09-19,掃地機器人,13,258090,Roborock,RRA0TCP,Roborock 石頭 Q8 掃拖機器人,,$4999,"$16,999",零纏繞邊刷 ｜ 10000Pa大吸力 ｜ 二合一集塵盒水,https://www.tk3c.com/product/258090?p=1&kw=掃地機器人&ec=Search_goodsPC1
2026-09-19,掃地機器人,14,258721,Roborock,S90VER,Roborock 石頭 G30 掃拖機器人,,$27980,"$66,999",RetractSense 智慧升降全域LDS導航系統 ｜ 7.98cm 超薄機身 ｜ VibraRise 強震聲波增壓恆濕拖地 ｜ 業界首創智慧升降底盤 ｜ 22000Pa 颶風吸力,https://www.tk3c.com/product/258721?p=1&kw=掃地機器人&ec=Search_goodsPC1
2026-09-19,掃地機器人,15,260806,Roborock,RRE0VSC,Roborock 石頭 Qrevo EdgeT 掃拖機器人,,$22888,"$59,999",智慧升降全域LDS導航系統 ｜ 7.98cm 業界超薄機身 ｜ 三重零纏繞清掃系統 ｜ 業界超強18500Pa 颶風吸力,https://www.tk3c.com/product/260806?p=1&kw=掃地機器人&ec=Search_goodsPC1
2026-09-19,掃地機器人,16,809935,Xiaomi,41776,(展示品) Xiaomi 掃拖機器人 S10,,$3880,"$7,995",Xiaomi 掃拖機器人 S10 ｜ 吸拖合一 掃除塵埃 ｜ 激光導航 精準快速鍵圖 ｜ 4000Pa強大吸力 ｜ 吸拖合一 掃除塵埃,https://www.tk3c.com/product/809935?p=1&kw=掃地機器人&ec=Search_goodsPC1
2026-09-19,掃地機器人,17,205285,聲寶SAMPO,EC-W19011SBL,聲寶SAMPO 路徑導航掃地機器人,,$9900,"$12,900",EPSON陀螺儀定位精準 清掃效率高 ｜ 自動認路並規畫路徑清掃及分區清掃功能 ｜ ARM 核心芯片空間地圖建立運算規劃清掃 ｜ 集塵盒及水箱二合一設計  掃吸拖一機搞定 ｜ 當電池電量過低時，會自動返回充電座 ｜ 智能防掉落感應裝置 ｜ 自動偵測邊緣環境 ｜ 續掃功能,https://www.tk3c.com/product/205285?p=2&kw=掃地機器人&ec=Search_goodsPC2
2026-09-19,掃地機器人,18,240391,iRobot,,iRobot 掃地機原廠邊(側)刷3入組,,$712,$712,"原廠側刷為環保材質 ｜ 建議輪流交替使用可延長壽命 ｜ Roomba原廠側刷3支含螺絲3顆 ｜ s9+機型除外 ｜ 使用原廠耗材,可延長機器人壽命 ｜ 使用非原廠耗材,保固自動失效",https://www.tk3c.com/product/240391?p=2&kw=掃地機器人&ec=Search_goodsPC2
2026-09-19,掃地機器人,19,257034,Roborock,RRE0R50,Roborock 石頭 Saros Z70 掃拖機器人,,$36980,"$66,999",7.98cm 極薄機身 ｜ 恆濕熱拖 ｜ 80度熱水洗 ｜ 智慧升降底盤 ｜ 三重零纏繞清掃系統,https://www.tk3c.com/product/257034?p=2&kw=掃地機器人&ec=Search_goodsPC2
2026-09-19,掃地機器人,20,261153,伊萊克斯Electrolux,EFR71222DS,伊萊克斯 Electrolux 極適家居700掃拖機器人,,$10900,"$14,900","高達4000Pa☆的強勁吸力 ｜ 透過LiDAR光學雷達精準打掃 ｜ 智慧集塵塔 自動清空髒汙 ｜ 280ml水箱,可濕拖達54坪空間 ｜ APP遠端靈活安排行程",https://www.tk3c.com/product/261153?p=2&kw=掃地機器人&ec=Search_goodsPC2
